,Unnamed: 0,gene_id,median_tum,median_norm,shapiro_tum,shapiro_norm,&_shapiro,M_W,M_W_p_value,medians_are_equal_MW,Wilcoxon,Wilc_p_value,medians_are_equal_Wil,&_MW_Wilc
0,0,ENSG00000118976,0.1286,0.0112,False,False,False,326323.5,2.7648191719621005e-87,False,14160.0,2.4254380220687505e-29,False,False
1,1,ENSG00000133519,3.7981,11.36,False,False,False,52297.5,4.537997681641173e-52,False,1096.5,1.0,True,False
2,2,ENSG00000174028,22.0275,1.636,False,False,False,344923.0,7.631712336248577e-103,False,14706.0,4.098354569692735e-30,False,False
3,3,ENSG00000176243,0.0,0.0,False,False,False,214528.0,3.1981145162285163e-13,False,2874.0,1.549026789281067e-11,False,False
4,4,ENSG00000177173,0.5256,0.0966,False,False,False,324745.0,1.0105094511304818e-80,False,14462.0,2.8180461145388873e-28,False,False
5,5,ENSG00000178082,2.2744,0.1338,False,False,False,344811.0,8.289873724971395e-103,False,14706.0,4.098354569692735e-30,False,False
6,6,ENSG00000179460,0.0694,0.0,False,False,False,293032.5,1.4572583518201454e-223,False,7604.0,5.41875729033806e-22,False,False
7,7,ENSG00000180221,0.329,0.0,False,False,False,329339.5,1.9009024244994822e-177,False,12717.0,4.047175280366406e-28,False,False
8,8,ENSG00000181227,1.9785,0.3711,False,False,False,331268.0,2.0095383710166143e-87,False,14691.0,5.3373006319235294e-30,False,False
9,9,ENSG00000182921,0.0774,0.0,False,False,False,257560.0,1.1893208457513955e-99,False,4130.0,3.7437984429184574e-16,False,False
10,10,ENSG00000183022,1.9151,0.0,False,False,False,346569.0,4.97966456195731e-118,False,14706.0,4.098354569692735e-30,False,False
