,blend_id,component_name,mass_fraction,component_type_title,component_param_title,component_param_value,oil_property_value,smiles
0,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,8682d4cc-c352-422b-a197-c05427cd518e,,4.52,CCCC(C)CCC
1,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,Температура вспышки в закрытом тигле,,4.52,CCC(C)CCCC
2,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,9a0b87b0-ded9-49c8-bad4-476ce3ee8893,,4.52,CCCC(C)CCC
3,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,a2fc0f17-7e63-4ad2-8022-da4162abee53,1612.0,4.52,CCCC(C)CCC
4,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,a2fc0f17-7e63-4ad2-8022-da4162abee53,2360.0,4.52,CCC(C)CCCC
5,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,323e7d38-cbfb-4bf3-8f75-fbe755365b37,,4.52,CCC(C)CCCC
6,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,323e7d38-cbfb-4bf3-8f75-fbe755365b37,,4.52,CCCC(C)CCC
7,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,d13e0412-9f3d-4e45-86d8-f756d74ec2d0,40.0,4.52,CCCC(C)CCC
8,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,d13e0412-9f3d-4e45-86d8-f756d74ec2d0,40.0,4.52,CCC(C)CCCC
9,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,3ec74fd4-9e8c-4a13-b845-58f9b6bd256d,40.0,4.52,CCC(C)CCCC
10,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,7458ebbc-5e6d-44b6-8660-4bc729658ff1,,4.52,CCC(C)CCCC
11,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,7458ebbc-5e6d-44b6-8660-4bc729658ff1,,4.52,CCCC(C)CCC
12,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,99db6ebc-31d7-4ba7-942a-190bb78fc0b3,,4.52,CCCC(C)CCC
13,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,99db6ebc-31d7-4ba7-942a-190bb78fc0b3,,4.52,CCC(C)CCCC
14,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,22d56254-1ba7-44ed-aaba-dc5c79686e50,0.0001,4.52,CCC(C)CCCC
15,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,22d56254-1ba7-44ed-aaba-dc5c79686e50,9e-05,4.52,CCCC(C)CCC
16,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,1230f37d-b440-4bb8-b137-8ea7b561db4f,4.48,4.52,CCCC(C)CCC
17,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,1230f37d-b440-4bb8-b137-8ea7b561db4f,4.52,4.52,CCC(C)CCCC
18,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,3ec74fd4-9e8c-4a13-b845-58f9b6bd256d,40.0,4.52,CCCC(C)CCC
19,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,461eb78a-a993-4984-9ede-67f00ef1c8e9,,4.52,CCCC(C)CCC
20,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,d71c61dd-417a-4e43-bafe-e9b9014ac6ce,,4.52,CCC(C)CCCC
21,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,d71c61dd-417a-4e43-bafe-e9b9014ac6ce,,4.52,CCCC(C)CCC
22,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,7048c664-4839-495c-9c0f-d5ca629ed752,,4.52,CCCC(C)CCC
23,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,30241ac9-72df-4dc2-8d67-5ecbf5faaf58,24.0,4.52,CCCC(C)CCC
24,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,a2ee964b-f99b-4833-8bd0-81e25c398dbd,,4.52,CCCC(C)CCC
25,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,317d031d-bd3d-4b5f-806a-646fbad7f1ee,372.0,4.52,CCCC(C)CCC
26,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,Температура вспышки в закрытом тигле,,4.52,CCCC(C)CCC
27,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,91afc6f5-f963-483f-b70f-c83ac8c738e1,,4.52,CCCC(C)CCC
28,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,91afc6f5-f963-483f-b70f-c83ac8c738e1,,4.52,CCC(C)CCCC
29,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,3be93dc8-1abd-4559-b147-a41046322b45,,4.52,CCC(C)CCCC
30,c090b033-87c0-4342-b737-fa7289b6f976,3a03d432-d849-417d-92e7-9a604187a096,67.0,5360a311-e081-4972-9215-26b5d9072f65,c2fea5f1-695f-4822-a94c-bd73d609e439,581.0,4.52,CCCC(C)CCC
31,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,c2fea5f1-695f-4822-a94c-bd73d609e439,778.5,4.52,CCC(C)CCCC
32,c090b033-87c0-4342-b737-fa7289b6f976,c33ebc5c-0935-4c6b-a489-f1404f88be22,33.0,5360a311-e081-4972-9215-26b5d9072f65,2ced8a31-bbd2-488a-9b02-21f6ceb2cf60,5.0,4.52,CCC(C)CCCC
