,Unnamed: 0,gene_id,tpm_0,tpm_1,tpm_2,tpm_3,tpm_4,tpm_5,tpm_6,tpm_7,tpm_8,tpm_9,tpm_10,tpm_11,tpm_12,tpm_13,tpm_14,tpm_15
0,0,ENSG00000118976,0.1785,0.215,0.0762,0.0995,0.0636,0.1434,0.053,0.0953,0.1415,0.1596,0.0701,0.2258,0.1159,0.2455,0.0723,0.0
1,1,ENSG00000133519,1.0287,0.4235,8.3183,0.2566,4.1992,4.5738,3.1823,8.943,4.2263,16.0746,17.2421,0.5886,16.0331,5.9511,1.4481,4.0938
2,2,ENSG00000174028,12.4031,15.1028,28.2602,36.7333,10.222,36.5927,30.4328,54.3052,36.2204,30.3139,16.1111,32.8869,21.9151,44.0487,19.5502,15.5013
3,3,ENSG00000176243,0.1058,0.0,0.0,0.0,0.0,0.0992,0.11,0.0,0.0979,0.2208,0.0,0.0,0.1202,0.1698,0.0,0.0
4,4,ENSG00000177173,0.4732,0.5698,0.7408,0.3955,0.1125,0.3167,0.4215,0.5054,0.2501,0.2821,0.9297,0.5987,0.8446,0.6509,0.1279,0.2155
5,5,ENSG00000178082,2.0875,4.3995,2.4511,3.1263,0.4962,2.7249,2.5567,0.9754,2.2066,4.8226,3.2813,2.2744,1.7784,4.7859,2.1153,1.4263
6,6,ENSG00000179460,0.0689,0.1162,0.2059,0.0,0.172,0.0,0.0,0.1932,0.0637,0.0,0.0,0.0678,0.0783,0.1106,0.0,0.0732
7,7,ENSG00000180221,0.0,0.5317,0.6284,0.4613,0.3935,0.1478,0.4916,0.1474,0.5833,0.329,0.0,0.7758,0.0,1.0122,0.1491,0.3352
8,8,ENSG00000181227,3.4079,2.4833,1.899,1.2392,1.3934,2.8689,2.1609,4.2103,1.4958,2.7721,2.2244,2.2736,1.7058,2.2247,1.0379,0.9822
9,9,ENSG00000182921,0.0989,0.0,0.0985,0.0,0.0,0.0,0.1027,0.0924,0.0914,0.1032,0.0,0.1946,0.0,0.1587,0.0,0.0
10,10,ENSG00000183022,0.8514,1.8456,1.6965,1.1861,0.5059,1.4818,1.264,1.9323,2.0249,2.2842,3.6803,1.9151,1.1052,4.4895,1.1503,1.1634
